100;Aardrijkskunde
050;Bedrijfsleven
200;Beroemdheden
100;Beroepen
050;Biologie
100;Boeken
050;Defensie
100;Dieren
050;Economie en financien
050;Elektronica
100;Eten en drinken
100;Films en televisie
200;Geschiedenis en volkskunde
050;Gebouwen
050;Handel en distributie
200;Historische figuren
050;Informatica
050;Juridisch
100;Kunst, muziek & cultuur
050;Landbouw, voedsel en voedselverwerking
050;Medisch
100;Mens en samenleving
050;Meteorologie en Astronomie
050;Milieu
100;Natuurkunde
050;Onderwijs
100;Planten en dieren
050;Politiek
100;Religie en filosofie
100;Scheikunde
100;Sport, welzijn en vrije tijd
020;Statistieken, documentatie en informatie
050;Taal en literatuur
050;Techniek en industrie
050;Transport en verkeer
050;Wiskunde
